"Plant.Code","Plant.Name","State","Latitude","Longitude","DC","HB","ON","PN","RC","RT","NA"
436,"Devil Canyon","CA","34.205599999999997","-117.3344",0,0,0,0,0,0,216054
437,"Edward C Hyatt","CA","39.542985000000002","-121.492188",0,0,0,0,0,0,652588
438,"Thermalito","CA","39.514893000000001","-121.630077",0,0,0,0,0,0,0
439,"Don Pedro","CA","37.695993999999999","-120.420152",0,0,0,0,0,0,155818
440,"La Grange","CA","37.669699999999999","-120.4436",0,0,0,0,0,0,7657
441,"Folsom","CA","38.70675","-121.15844300000001",0,0,0,0,0,0,185147
442,"Judge F Carr","CA","40.646934000000002","-122.62697300000001",0,0,0,0,0,0,338338
443,"Keswick","CA","40.611857999999998","-122.44644099999999",0,0,0,0,0,0,284273
444,"Nimbus","CA","38.637349999999998","-121.220198",0,0,0,0,0,0,26149
445,"Shasta","CA","40.717455000000001","-122.422274",0,0,0,0,0,0,1012933
446,"ONeill","CA","37.098671000000003","-121.047718",0,0,0,0,0,0,-5735
447,"Parker Dam","CA","34.295333999999997","-114.14022199999999",0,0,0,0,0,0,448589
448,"W R Gianelli","CA","37.069200000000002","-121.0772",0,0,0,0,0,0,-142409
450,"Spring Creek","CA","40.628115000000001","-122.46750900000001",0,0,0,0,0,0,283446
451,"Trinity","CA","40.797296000000003","-122.762553",0,0,0,0,0,0,279059
454,"Colgate","CA","39.330832999999998","-121.191666",0,0,0,0,0,0,538803
455,"Narrows 2","CA","39.238996","-121.270409",0,0,0,0,0,0,94716
457,"Bear Valley","CA","33.166111000000001","-117.016667",0,0,0,0,0,0,562
460,"Pueblo","CO","38.2667","-104.6144",0,0,0,0,0,0,-316
464,"Alamosa","CO","37.459400000000002","-105.8947",0,0,0,0,0,0,1866
465,"Arapahoe","CO","39.67","-105.00279999999999",0,0,0,0,0,0,0
466,"Boulder Canyon Hydro","CO","40.004725000000001","-105.33249499999999",0,0,0,0,0,0,19615
467,"Cabin Creek","CO","39.655099999999997","-105.7088",0,0,0,0,0,0,-159359
469,"Cherokee","CO","39.807274999999997","-104.96454799999999",0,0,0,0,0,0,3075374.027
470,"Comanche (CO)","CO","38.208100000000002","-104.57470000000001",0,0,0,0,0,0,8289783.03
471,"Fruita","CO","39.136400000000002","-108.7347",0,0,0,0,0,0,129
472,"Georgetown Hydro","CO","39.691899999999997","-105.6978",0,0,0,0,0,0,6165
473,"Grand Valley Project Power Plant","CO","39.101666999999999","-108.345556",0,0,0,0,0,0,13448
474,"Salida","CO","38.534190000000002","-106.18200299999999",0,0,0,0,0,0,2152
